pair_indices,document1_text_preview,document2_text_preview,full_prompt,raw_llm_response,cleaned_llm_response,constraint_type,doc1_full_text,doc2_full_text
"(2363, 2381)",Why do I have to verify the top-up that I started?...,Why do I have to verify the top-up?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: Why do I have to verify the top-up that I started?
Snippet 2: Why do I have to verify the top-up?",YES,YES,Must-Link,Why do I have to verify the top-up that I started?,Why do I have to verify the top-up?
"(2442, 2454)",Can I top up with a cheque?...,Can I top up using a cheque?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: Can I top up with a cheque?
Snippet 2: Can I top up using a cheque?",YES,YES,Must-Link,Can I top up with a cheque?,Can I top up using a cheque?
"(44, 67)",How do I link a card that I already have?...,how do I link a card I already have?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: How do I link a card that I already have?
Snippet 2: how do I link a card I already have?",YES,YES,Must-Link,How do I link a card that I already have?,how do I link a card I already have?
"(778, 3073)","I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The ...",What countries do you currently do business in?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more
Snippet 2: What countries do you currently do business in?",NO,NO,Cannot-Link,"I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more",What countries do you currently do business in?
"(778, 1642)","I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The ...","If my phone is missing, can I block someone from using the app?...","Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more
Snippet 2: If my phone is missing, can I block someone from using the app?",NO,NO,Cannot-Link,"I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more","If my phone is missing, can I block someone from using the app?"
"(778, 3036)","I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The ...",Is there any documentation needed for the identity check?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more
Snippet 2: Is there any documentation needed for the identity check?",NO,NO,Cannot-Link,"I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more",Is there any documentation needed for the identity check?
"(2806, 2834)",Are there fees for top ups?...,Is their a fee for top ups?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: Are there fees for top ups?
Snippet 2: Is their a fee for top ups?",YES,YES,Must-Link,Are there fees for top ups?,Is their a fee for top ups?
"(89, 1923)",what are exchange rates based on...,What do I do since the machine swallowed my card. I need one....,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: what are exchange rates based on
Snippet 2: What do I do since the machine swallowed my card. I need one.",NO,NO,Cannot-Link,what are exchange rates based on,What do I do since the machine swallowed my card. I need one.
"(89, 1148)",what are exchange rates based on...,I need to change my name since I got married...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: what are exchange rates based on
Snippet 2: I need to change my name since I got married",NO,NO,Cannot-Link,what are exchange rates based on,I need to change my name since I got married
"(1446, 1457)",Which ATM's accept my card?...,Which ATM's will accept my card?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: Which ATM's accept my card?
Snippet 2: Which ATM's will accept my card?",YES,YES,Must-Link,Which ATM's accept my card?,Which ATM's will accept my card?
"(2288, 2316)",Why did my transfer not go through?...,Why didn't my transfer go through?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: Why did my transfer not go through?
Snippet 2: Why didn't my transfer go through?",YES,YES,Must-Link,Why did my transfer not go through?,Why didn't my transfer go through?
"(1441, 1461)",Which ATMs accept this card?...,"
Which ATMs accept this card?...","Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: Which ATMs accept this card?
Snippet 2: 
Which ATMs accept this card?",YES,YES,Must-Link,Which ATMs accept this card?,"
Which ATMs accept this card?"
"(89, 1642)",what are exchange rates based on...,"If my phone is missing, can I block someone from using the app?...","Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: what are exchange rates based on
Snippet 2: If my phone is missing, can I block someone from using the app?",NO,NO,Cannot-Link,what are exchange rates based on,"If my phone is missing, can I block someone from using the app?"
"(778, 3057)","I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The ...",From what countries can I use this product?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more
Snippet 2: From what countries can I use this product?",NO,NO,Cannot-Link,"I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more",From what countries can I use this product?
"(89, 1660)",what are exchange rates based on...,The hotel called and said I left my phone in the room....,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: what are exchange rates based on
Snippet 2: The hotel called and said I left my phone in the room.",NO,NO,Cannot-Link,what are exchange rates based on,The hotel called and said I left my phone in the room.
"(89, 1907)",what are exchange rates based on...,Please delete my account....,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: what are exchange rates based on
Snippet 2: Please delete my account.",NO,NO,Cannot-Link,what are exchange rates based on,Please delete my account.
"(663, 675)",Why is my top up still pending?...,Why is my top-up still pending?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: Why is my top up still pending?
Snippet 2: Why is my top-up still pending?",YES,YES,Must-Link,Why is my top up still pending?,Why is my top-up still pending?
"(778, 1171)","I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The ...","Can I still use my account, even though the identity verification has not passed yet?...","Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more
Snippet 2: Can I still use my account, even though the identity verification has not passed yet?",NO,NO,Cannot-Link,"I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more","Can I still use my account, even though the identity verification has not passed yet?"
"(1938, 1940)",What do I do if the ATM ate my card?...,What do I do if an ATM ate my card?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: What do I do if the ATM ate my card?
Snippet 2: What do I do if an ATM ate my card?",YES,YES,Must-Link,What do I do if the ATM ate my card?,What do I do if an ATM ate my card?
"(689, 703)",How can I cancel a transfer?...,How do I cancel my transfer?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: How can I cancel a transfer?
Snippet 2: How do I cancel my transfer?",YES,YES,Must-Link,How can I cancel a transfer?,How do I cancel my transfer?
"(723, 735)",What is the limit to top up?...,What is the limit to a top-up?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: What is the limit to top up?
Snippet 2: What is the limit to a top-up?",YES,YES,Must-Link,What is the limit to top up?,What is the limit to a top-up?
"(1841, 1879)",How long for money transfer to show?...,How long does it take for a money transfer to show?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: How long for money transfer to show?
Snippet 2: How long does it take for a money transfer to show?",YES,YES,Must-Link,How long for money transfer to show?,How long does it take for a money transfer to show?
"(490, 502)",What is the minimum age to open an account?...,What's the minimum age for opening an account?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: What is the minimum age to open an account?
Snippet 2: What's the minimum age for opening an account?",YES,YES,Must-Link,What is the minimum age to open an account?,What's the minimum age for opening an account?
"(89, 1543)",what are exchange rates based on...,I need help resetting my passcode to access my app....,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: what are exchange rates based on
Snippet 2: I need help resetting my passcode to access my app.",NO,NO,Cannot-Link,what are exchange rates based on,I need help resetting my passcode to access my app.
"(89, 1900)",what are exchange rates based on...,"This company isn't good, I would like to delete my account....","Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: what are exchange rates based on
Snippet 2: This company isn't good, I would like to delete my account.",NO,NO,Cannot-Link,what are exchange rates based on,"This company isn't good, I would like to delete my account."
"(2338, 2477)",How do I top up my card?...,How can I top-up my card?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: How do I top up my card?
Snippet 2: How can I top-up my card?",YES,YES,Must-Link,How do I top up my card?,How can I top-up my card?
"(2440, 2442)",Can I top up by cheque?...,Can I top up with a cheque?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: Can I top up by cheque?
Snippet 2: Can I top up with a cheque?",YES,YES,Must-Link,Can I top up by cheque?,Can I top up with a cheque?
"(89, 1671)",what are exchange rates based on...,Someone stole my phone....,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: what are exchange rates based on
Snippet 2: Someone stole my phone.",NO,NO,Cannot-Link,what are exchange rates based on,Someone stole my phone.
"(89, 1909)",what are exchange rates based on...,I want my account deleted!...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: what are exchange rates based on
Snippet 2: I want my account deleted!",NO,NO,Cannot-Link,what are exchange rates based on,I want my account deleted!
"(778, 2604)","I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The ...",how do VR cards work...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more
Snippet 2: how do VR cards work",NO,NO,Cannot-Link,"I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more",how do VR cards work
"(735, 748)",What is the limit to a top-up?...,What is the limit to top-up?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: What is the limit to a top-up?
Snippet 2: What is the limit to top-up?",YES,YES,Must-Link,What is the limit to a top-up?,What is the limit to top-up?
"(778, 2613)","I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The ...",how secure is a disposable virtual card...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more
Snippet 2: how secure is a disposable virtual card",NO,NO,Cannot-Link,"I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more",how secure is a disposable virtual card
"(738, 744)",Is there a limit to top-ups?...,Are there limits to top-ups?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: Is there a limit to top-ups?
Snippet 2: Are there limits to top-ups?",YES,YES,Must-Link,Is there a limit to top-ups?,Are there limits to top-ups?
"(325, 346)",Can it automatically top-up money if there isn't much left?...,Will it automatically top-up money if there isn't a lot left?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: Can it automatically top-up money if there isn't much left?
Snippet 2: Will it automatically top-up money if there isn't a lot left?",YES,YES,Must-Link,Can it automatically top-up money if there isn't much left?,Will it automatically top-up money if there isn't a lot left?
"(2104, 2111)",Why has my card payment been reverted?...,Why was my card payment reverted?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: Why has my card payment been reverted?
Snippet 2: Why was my card payment reverted?",YES,YES,Must-Link,Why has my card payment been reverted?,Why was my card payment reverted?
"(89, 1646)",what are exchange rates based on...,I've lost track of my phone or someone stole it....,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: what are exchange rates based on
Snippet 2: I've lost track of my phone or someone stole it.",NO,NO,Cannot-Link,what are exchange rates based on,I've lost track of my phone or someone stole it.
"(264, 271)",Am I able to exchange currencies?...,Can I exchange currencies?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: Am I able to exchange currencies?
Snippet 2: Can I exchange currencies?",YES,YES,Must-Link,Am I able to exchange currencies?,Can I exchange currencies?
"(89, 1664)",what are exchange rates based on...,I believe I left my smartphone at the hotel I was staying at....,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: what are exchange rates based on
Snippet 2: I believe I left my smartphone at the hotel I was staying at.",NO,NO,Cannot-Link,what are exchange rates based on,I believe I left my smartphone at the hotel I was staying at.
"(89, 462)",what are exchange rates based on...,I think I lost my card . I dont know how long it has been missing. Can you see if maybe someone else...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: what are exchange rates based on
Snippet 2: I think I lost my card . I dont know how long it has been missing. Can you see if maybe someone else has been using it?",NO,NO,Cannot-Link,what are exchange rates based on,I think I lost my card . I dont know how long it has been missing. Can you see if maybe someone else has been using it?
"(89, 1673)",what are exchange rates based on...,My phone is lost.  What do I do to prevent someone from using the app?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: what are exchange rates based on
Snippet 2: My phone is lost.  What do I do to prevent someone from using the app?",NO,NO,Cannot-Link,what are exchange rates based on,My phone is lost.  What do I do to prevent someone from using the app?
"(778, 928)","I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The ...",what is the virtual card...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more
Snippet 2: what is the virtual card",NO,NO,Cannot-Link,"I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more",what is the virtual card
"(89, 535)",what are exchange rates based on...,Can you unlock my pin? I think I entered the wrong pin too many times....,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: what are exchange rates based on
Snippet 2: Can you unlock my pin? I think I entered the wrong pin too many times.",NO,NO,Cannot-Link,what are exchange rates based on,Can you unlock my pin? I think I entered the wrong pin too many times.
"(2806, 2831)",Are there fees for top ups?...,Are there any fees for top ups?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: Are there fees for top ups?
Snippet 2: Are there any fees for top ups?",YES,YES,Must-Link,Are there fees for top ups?,Are there any fees for top ups?
"(897, 919)",What cards and currencies do you support?...,Which cards and currencies do you support?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: What cards and currencies do you support?
Snippet 2: Which cards and currencies do you support?",YES,YES,Must-Link,What cards and currencies do you support?,Which cards and currencies do you support?
"(899, 916)",How can I use American Express to add money to my account?...,How can I use American Express to add funds to my account?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: How can I use American Express to add money to my account?
Snippet 2: How can I use American Express to add funds to my account?",YES,YES,Must-Link,How can I use American Express to add money to my account?,How can I use American Express to add funds to my account?
"(2293, 2294)",Why has my transfer failed?...,Why did my transfer fail?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: Why has my transfer failed?
Snippet 2: Why did my transfer fail?",YES,YES,Must-Link,Why has my transfer failed?,Why did my transfer fail?
"(89, 1886)",what are exchange rates based on...,Please delete my account right now!...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: what are exchange rates based on
Snippet 2: Please delete my account right now!",NO,NO,Cannot-Link,what are exchange rates based on,Please delete my account right now!
"(346, 352)",Will it automatically top-up money if there isn't a lot left?...,Will it automatically top-up if there isn't much money left?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: Will it automatically top-up money if there isn't a lot left?
Snippet 2: Will it automatically top-up if there isn't much money left?",YES,YES,Must-Link,Will it automatically top-up money if there isn't a lot left?,Will it automatically top-up if there isn't much money left?
"(89, 1538)",what are exchange rates based on...,Help me reset the passcode....,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: what are exchange rates based on
Snippet 2: Help me reset the passcode.",NO,NO,Cannot-Link,what are exchange rates based on,Help me reset the passcode.
"(2285, 2289)",My transfer did not go through....,My transfer didn't go through....,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: My transfer did not go through.
Snippet 2: My transfer didn't go through.",YES,YES,Must-Link,My transfer did not go through.,My transfer didn't go through.
"(89, 528)",what are exchange rates based on...,"When I put the wrong pin too much, I got blocked, so can you help me unblock my pin...","Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: what are exchange rates based on
Snippet 2: When I put the wrong pin too much, I got blocked, so can you help me unblock my pin",NO,NO,Cannot-Link,what are exchange rates based on,"When I put the wrong pin too much, I got blocked, so can you help me unblock my pin"
"(56, 778)",Can you tell me how to link one of your cards that I already have?...,"I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The ...","Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: Can you tell me how to link one of your cards that I already have?
Snippet 2: I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more",NO,NO,Cannot-Link,Can you tell me how to link one of your cards that I already have?,"I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more"
"(387, 389)",I can't use my card....,I cannot use my card....,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: I can't use my card.
Snippet 2: I cannot use my card.",YES,YES,Must-Link,I can't use my card.,I cannot use my card.
"(89, 546)",what are exchange rates based on...,I entered the wrong pin too many times and now I am blocked.  Help me unblock!...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: what are exchange rates based on
Snippet 2: I entered the wrong pin too many times and now I am blocked.  Help me unblock!",NO,NO,Cannot-Link,what are exchange rates based on,I entered the wrong pin too many times and now I am blocked.  Help me unblock!
"(55, 89)","Hello, I found the card I misplaced and I need to reactive it, how do I do that?...",what are exchange rates based on...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: Hello, I found the card I misplaced and I need to reactive it, how do I do that?
Snippet 2: what are exchange rates based on",NO,NO,Cannot-Link,"Hello, I found the card I misplaced and I need to reactive it, how do I do that?",what are exchange rates based on
"(1565, 1584)",The ATM keeps declining my card. I tried at a couple different ATMs. Can you tell me if there's a pr...,The ATM keeps declining my card. I tried at two different ATMs. Can you tell me if there's an issue ...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: The ATM keeps declining my card. I tried at a couple different ATMs. Can you tell me if there's a problem with my account?
Snippet 2: The ATM keeps declining my card. I tried at two different ATMs. Can you tell me if there's an issue with my account?",YES,YES,Must-Link,The ATM keeps declining my card. I tried at a couple different ATMs. Can you tell me if there's a problem with my account?,The ATM keeps declining my card. I tried at two different ATMs. Can you tell me if there's an issue with my account?
"(1613, 1633)",I bought some stuff this morning but the payment shows as pending...,I bought some things this morning but the payment shows that it is pending...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: I bought some stuff this morning but the payment shows as pending
Snippet 2: I bought some things this morning but the payment shows that it is pending",YES,YES,Must-Link,I bought some stuff this morning but the payment shows as pending,I bought some things this morning but the payment shows that it is pending
"(49, 778)","I have one of your cards already, how do I link it?...","I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The ...","Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: I have one of your cards already, how do I link it?
Snippet 2: I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more",NO,NO,Cannot-Link,"I have one of your cards already, how do I link it?","I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more"
"(1283, 1285)",Do you guys accept Visa or Mastercard?...,Do you guys accept mastercard or visa?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: Do you guys accept Visa or Mastercard?
Snippet 2: Do you guys accept mastercard or visa?",YES,YES,Must-Link,Do you guys accept Visa or Mastercard?,Do you guys accept mastercard or visa?
"(778, 2427)","I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The ...",Am I allowed to give my daughter one of my cards to use?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more
Snippet 2: Am I allowed to give my daughter one of my cards to use?",NO,NO,Cannot-Link,"I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more",Am I allowed to give my daughter one of my cards to use?
"(778, 2491)","I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The ...",Do you ship cards to where I live?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more
Snippet 2: Do you ship cards to where I live?",NO,NO,Cannot-Link,"I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more",Do you ship cards to where I live?
"(77, 778)","I already have one of your cards, how do I link them?...","I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The ...","Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: I already have one of your cards, how do I link them?
Snippet 2: I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more",NO,NO,Cannot-Link,"I already have one of your cards, how do I link them?","I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more"
"(778, 2848)","I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The ...",Is there a way my new card can be renewed?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more
Snippet 2: Is there a way my new card can be renewed?",NO,NO,Cannot-Link,"I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more",Is there a way my new card can be renewed?
"(778, 3058)","I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The ...",Where can I find your locations?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more
Snippet 2: Where can I find your locations?",NO,NO,Cannot-Link,"I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more",Where can I find your locations?
"(89, 1652)",what are exchange rates based on...,My phone was stolen so I no longer have access to the app....,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: what are exchange rates based on
Snippet 2: My phone was stolen so I no longer have access to the app.",NO,NO,Cannot-Link,what are exchange rates based on,My phone was stolen so I no longer have access to the app.
"(89, 1890)",what are exchange rates based on...,I am highly unsatisfied with this company and want to delete my account!...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: what are exchange rates based on
Snippet 2: I am highly unsatisfied with this company and want to delete my account!",NO,NO,Cannot-Link,what are exchange rates based on,I am highly unsatisfied with this company and want to delete my account!
"(778, 3076)","I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The ...",How many countries do you support?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more
Snippet 2: How many countries do you support?",NO,NO,Cannot-Link,"I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more",How many countries do you support?
"(2346, 2355)",How do I transfer money to my account?...,How can I transfer money to my account?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: How do I transfer money to my account?
Snippet 2: How can I transfer money to my account?",YES,YES,Must-Link,How do I transfer money to my account?,How can I transfer money to my account?
"(809, 831)",Why was I charged an extra fee when paying with my card?...,Why was I charged an extra fee when using a card?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: Why was I charged an extra fee when paying with my card?
Snippet 2: Why was I charged an extra fee when using a card?",YES,YES,Must-Link,Why was I charged an extra fee when paying with my card?,Why was I charged an extra fee when using a card?
"(89, 523)",what are exchange rates based on...,I accidentally blocked my PIN. How do I reset it?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: what are exchange rates based on
Snippet 2: I accidentally blocked my PIN. How do I reset it?",NO,NO,Cannot-Link,what are exchange rates based on,I accidentally blocked my PIN. How do I reset it?
"(2843, 2868)",Tell me how to go about activating my new card?...,How do I go about activating my new card?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: Tell me how to go about activating my new card?
Snippet 2: How do I go about activating my new card?",YES,YES,Must-Link,Tell me how to go about activating my new card?,How do I go about activating my new card?
"(2103, 2109)",Why was my card payment cancelled?...,What is the reason that my card payment was cancelled?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: Why was my card payment cancelled?
Snippet 2: What is the reason that my card payment was cancelled?",YES,YES,Must-Link,Why was my card payment cancelled?,What is the reason that my card payment was cancelled?
